
"Name of economic activities",2016,2017,2018,2019,2020,2021
"Average monthly nominal accrued wages",1064214.6,1251538,1542598.2795235,1946778.3130131,2227141.24835,2662002.8413683
"Agriculture, forestry and fisheries",692916.2,848086.3,1016193.5342581,1368930.644721,1501697.2456372,1665698.9432521
Industry,1515170.1,1655619.8,2040093.5368326,2382432.0164164,2748807.9548823,3224933.5743005
Construction,1099593.2,1180069.7,1369567.7245969,1704223.8553608,1879681.2033306,2286480.0851059
Trade,970650.9,1077319.9,1232758.3480387,1397377.2663708,1452797.0707829,1679306.4729119
"Transportation and storage",1389427.2,1518413,1848123.0751185,2184972.0880399,2551199.6549743,3247882.8922499
"Accommodation and food services",612021.2,686537.2,764663.83331143,890200.5962615,888300.86084417,1203001.9144199
"Information and communication",1808300.1,2172227,2827567.2041133,3351262.5284228,3879791.6376113,4843189.6419989
"Financial and insurance activities",2018681,2578836.5,3352054.7924917,4589918.4378747,5973159.1625036,7831957.7587243
Education,1038161.6,1159336,1380759.160494,1702986.2707997,1971529.9280176,2307594.4112674
"Health care and social services",877310.5,967094.8,1151016.956888,1454764.2039477,1759919.3123837,2097289.0148281
"Arts, entertainment and recreation",1205472.3,1305289.3,1568141.2076739,1870020.0777306,2171609.61225,2578754.1212125
"Other types",1041053.4,1192401.5,1622974.4067646,2354100.2811425,2578168.4491077,3257577.8309373
